,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,reforma
1,1150000,7,3.0,0.0,336,1960.0,5.0,1,1,12.0,1,0,1,1,1
2,399000,3,1.0,0.0,89,1934.0,4.0,1,1,0.0,1,0,0,1,1
11,470000,2,2.0,0.0,98,1973.0,2.0,1,0,0.0,1,0,0,1,1
13,380000,3,1.0,1.0,86,1976.0,3.0,1,0,4.0,1,0,1,1,0
17,425000,3,2.0,0.0,130,1885.0,3.0,1,0,0.0,0,0,0,0,1
18,450000,2,1.0,1.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
32,425000,2,1.0,0.0,100,1900.0,7.0,1,1,0.0,1,0,1,1,0
33,545000,3,2.0,0.0,100,1894.0,5.0,0,0,0.0,1,0,0,1,1
35,760000,6,2.0,0.0,145,1900.0,4.0,1,0,0.0,1,0,0,0,0
38,950000,2,2.0,0.0,108,1898.0,6.0,1,1,64.0,1,0,1,1,0
43,520000,3,2.0,0.0,118,1900.0,4.0,0,0,0.0,1,0,1,1,1
44,1650000,7,2.0,0.0,212,1970.0,2.0,1,0,0.0,0,0,0,1,1
47,415000,2,1.0,0.0,101,1940.0,1.0,1,0,7.0,1,0,0,0,0
51,1700000,4,5.0,0.0,290,1998.0,7.0,0,1,0.0,1,1,1,1,0
52,425000,3,1.0,1.0,130,1885.0,2.0,1,0,0.0,1,0,1,0,1
53,2145000,3,3.0,0.0,259,2021.0,1.0,1,0,131.0,0,1,1,1,0
56,1600000,6,3.0,0.0,340,1900.0,4.0,1,0,0.0,1,0,0,1,0
58,365000,3,1.0,0.0,95,1936.0,2.0,1,1,0.0,0,0,1,1,0
59,325100,3,1.0,0.0,73,1975.0,7.0,0,0,4.0,1,0,0,1,0
61,1665000,3,2.0,0.0,151,2016.0,5.0,0,0,0.0,1,0,1,1,0
64,850000,4,2.0,0.0,150,1890.0,1.0,0,0,0.0,0,0,0,1,1
65,535000,2,2.0,0.0,103,1972.0,8.0,1,0,3.0,1,1,1,1,0
